Case,MayHBC,Species,Avg.Sp.Mass.g,Family,Age,Sex,Location,Disposition,Treatment.Time,Year,Season,Facility,RhbFund,Stunned.Shock,Lethargy.Weak,Concussion,Unconscious,WingFracture,Back.Spine.neck.Injury,LegFracture,Eye.Injury,Beak.Mouth.Injury,Skull.Fracture,Head.Trauma,PunctureWound,Bruising.Swelling,PelvicInjury,CoracoidFracture,Emaciated.Dehydrated,InternalBleeding,Animal.Attack.Too,Neurological,NerveDamage,Grasping.leg.impairment,BalanceIssues,UnableToFly,RespiratoryDistress,Paralysis,Infection.Sick.Parasites,Hypothermia,0.HNBN,0.WLL,0.TAB,0.UNS
1,F,AMRO,81,Turdidae,Adult,Unknown,Hazleton PA,Euthanized,0,2020,Summer,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
2,F,BARS,18.5,Hirundinidae,Adult,Unknown,Lehighton PA,Died,2,2020,Summer,Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
3,F,MODO,133,Columbidae,Adult,Unknown,Lehighton PA,Released,8,2020,Summer,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
4,F,HOSP,28.5,Passeridae,Adult,Male,Lansford PA,Released,21,2020,Summer,Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
5,F,AMRO,81,Turdidae,Adult,Unknown,Summit Hill PA,Released,8,2020,Summer,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
6,F,YSFL,135,Picidae,Adult,Unknown,Dallas PA,Released,11,2020,Summer,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
7,F,NOCA,45,Cardinalidae,Adult,Male,Orefield PA,Released,3,2020,Summer,Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
8,F,RWBL,54.5,Icteridae,Adult,Female,Tamaqua PA,Released,6,2020,Fall,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
9,F,HOSP,28.5,Passeridae,Adult,Female,Coaldale PA,Released,4,2020,Fall,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
10,F,HOSP,28.5,Passeridae,Adult,Unknown,Lehighton PA,Released,9,2020,Fall,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
11,F,COHA,410,Accipitridae,Adult,Unknown,Lehighton PA,Dead on Arrival,0,2020,Fall,Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,F,TUTI,22,Paridae,Adult,Unknown,Allentown PA,Died,1,2020,Fall,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
13,F,AMGO,15.5,Fringillidae,Adult,Male,Summit Hill PA,Died,1,2020,Fall,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
14,F,COHA,410,Accipitridae,Juvenile,Unknown,Jim Thorpe PA,Died,20,2020,Winter,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,T,NA,NA,NA
15,F,TUTI,22,Paridae,Adult,Unknown,Mountaintop PA,Died,1,2021,Winter,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
16,F,DEJU,24,Passerellidae,Adult,Unknown,Lehighton PA,Died,2,2021,Winter,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
17,F,HOFI,21.5,Fringillidae,Adult,Unknown,Lehighton PA,Released,13,2021,Winter,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
18,F,BLJA,85,Corvidae,Adult,Unknown,Barnesville PA,Euthanized,0,2021,Winter,Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
19,F,AMGO,15.5,Fringillidae,Adult,Unknown,Shickshinny PA,Died,0,2021,Winter,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
20,F,EAME,120,Icteridae,Adult,Unknown,Lehighton PA,Died,1,2021,Spring,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
21,F,MODO,133,Columbidae,Adult,Unknown,Sugarloaf PA,Released,8,2021,Spring,Organization,NA,T,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
22,F,YSFL,135,Picidae,Adult,Unknown,Tamaqua PA,Died,4,2021,Spring,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,T,NA
23,F,COHA,410,Accipitridae,Juvenile,Male,Luzerne Co PA,Released,26,2021,Spring,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
24,F,AMWO,197.5,Scolopacidae,Adult,Unknown,Lansford PA,Euthanized,0,2021,Spring,Organization,NA,NA,NA,T,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
25,F,MODO,133,Columbidae,Juvenile,Unknown,Jim Thorpe PA,Released,6,2021,Summer,Organization,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
26,F,RBWO,73.5,Picidae,Adult,Unknown,Monroe PA,Released,2,2020,Summer,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
27,F,BLJA,85,Corvidae,Juvenile,Unknown,Northampton PA,Released,6,2020,Summer,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
28,F,REVI,19,Vireonidae,Adult,Unknown,Lackawanna PA,Released,6,2020,Summer,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
29,F,YBSA,49,Picidae,Adult,Male,Monroe PA,Released,39,2020,Summer,Organization,160566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA
30,F,YSFL,135,Picidae,Adult,Male,Lehigh PA,Released,6,2020,Summer,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
31,F,GRCA,39.9,Mimidae,Adult,Unknown,Lehigh PA,Released,1,2020,Summer,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
32,F,HOSP,28.5,Passeridae,Adult,Male,Lackawanna PA,Released,5,2020,Summer,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unspecified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
33,F,RWBL,54.5,Icteridae,Juvenile,Unknown,Montgomery PA,Died,1,2020,Summer,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
34,F,BLJA,85,Corvidae,Adult,Unknown,Pike PA,Released,4,2020,Summer,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
35,F,COHA,410,Accipitridae,Adult,Unknown,Northampton PA,Euthanized,6,2020,Fall,Organization,160566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA
36,F,GRCA,39.9,Mimidae,Adult,Unknown,Lehigh PA,Released,3,2020,Fall,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
37,F,YSFL,135,Picidae,Adult,Male,Lehigh PA,Released,NA,2020,Fall,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
38,F,HOFI,21.5,Fringillidae,Adult,Unknown,Northampton PA,Released,1,2020,Fall,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
39,F,HOFI,21.5,Fringillidae,Juvenile,Unknown,Northampton PA,Dead on Arrival,0,2020,Fall,Organization,160566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,F,BWHA,412.5,Accipitridae,Juvenile,Unknown,Wayne PA,Died,1,2020,Fall,Organization,160566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pelvis,T,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,T
41,F,TUTI,22,Paridae,Adult,Unknown,Lackawanna PA,Released,3,2020,Fall,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
42,F,COYE,9.5,Parulidae,Adult,Unknown,Schuylkill PA,Released,0,2020,Fall,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
43,F,OVEN,22,Parulidae,Adult,Unknown,Wyoming PA,Released,6,2020,Fall,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
44,F,OVEN,22,Parulidae,Adult,Unknown,Luzerne Co PA,Released,7,2020,Fall,Organization,160566,NA,NA,T,NA,NA,NA,NA,T,NA,NA,NA,NA,Eye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
45,F,OVEN,22,Parulidae,Adult,Unknown,Pike PA,Released,7,2020,Fall,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
46,F,CSWA,12.5,Parulidae,Adult,Unknown,Northampton PA,Released,3,2020,Fall,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
47,F,REVI,19,Vireonidae,Adult,Unknown,Lehigh PA,Released,3,2020,Fall,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
48,F,DOWO,24.5,Picidae,Adult,Male,Monroe PA,Died,0,2020,Fall,Organization,160566,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
49,F,YBSA,49,Picidae,Adult,Male,Monroe PA,Euthanized,3,2020,Fall,Organization,160566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,T,NA,T,NA
50,F,YRWA,12.5,Parulidae,Adult,Unknown,Northampton PA,Died,2,2020,Fall,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
51,F,PISI,15,Fringillidae,Adult,Male,Northampton PA,Released,28,2020,Fall,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
52,F,COHA,410,Accipitridae,Adult,Unknown,Bradford PA,Released,21,2020,Fall,Organization,160566,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,T,NA,NA
53,F,MODO,133,Columbidae,Adult,Unknown,Lehigh PA,Released,19,2020,Fall,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
54,F,PIWO,300,Picidae,Adult,Female,Northampton PA,Released,1,2020,Winter,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
55,F,MODO,133,Columbidae,Adult,Unknown,Monroe PA,Released,14,2021,Winter,Organization,160566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
56,F,Nuthatch sp.,15,Sittidae,Adult,Unknown,Lackawanna PA,Released,11,2021,Winter,Organization,160566,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,Eye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
57,F,DOWO,24.5,Picidae,Adult,Male,Northampton PA,Released,7,2021,Winter,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
58,F,PIWO,300,Picidae,Adult,Unknown,Northampton PA,Died,22,2021,Spring,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
59,F,SSHA,152.5,Accipitridae,Adult,Male,Northampton PA,Released,5,2021,Spring,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
60,F,ROPI,322.5,Columbidae,Adult,Unknown,Northampton PA,Died,0,2021,Spring,Organization,160566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
61,F,MODO,133,Columbidae,Adult,Unknown,Northampton PA,Euthanized,0,2021,Spring,Organization,160566,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA
62,F,TEWA,9,Parulidae,Adult,Male,Northampton PA,Died,1,2021,Spring,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,T,NA,NA
63,F,COYE,9.5,Parulidae,Adult,Male,Northampton PA,Died,0,2021,Spring,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
64,F,OVEN,22,Parulidae,Adult,Unknown,Lackawanna PA,Released,2,2021,Spring,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
65,F,REVI,19,Vireonidae,Adult,Male,Monroe PA,Released,2,2021,Spring,Organization,160566,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
66,F,BLPW,12.5,Parulidae,Adult,Unknown,Lehigh PA,Released,1,2021,Spring,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
67,F,RBWO,73.5,Picidae,Juvenile,Male,Monroe PA,Released,8,2021,Summer,Organization,160566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA
68,F,HAWO,67.5,Picidae,Adult,Female,Monroe PA,Released,4,2021,Summer,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
69,F,Nuthatch sp.,15,Sittidae,Adult,Unknown,Monroe PA,Died,2,2021,Summer,Organization,160566,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
70,F,PIWO,300,Picidae,Juvenile,Male,Monroe PA,Released,40,2021,Summer,Organization,160566,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
71,F,DEJU,24,Passerellidae,Adult,Unknown,Mertztown PA,Released,NA,NA,NA,Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
72,F,RBWO,73.5,Picidae,Juvenile,Unknown,Edinboro PA,Euthanized,0,2020,Summer,Organization,144391,NA,NA,T,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,T,NA,T,NA
73,F,YSFL,135,Picidae,Juvenile,Male,Erie PA,Released,31,2020,Summer,Organization,144391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,T,NA,NA,NA
74,T,BBCU,52.5,Cuculidae,Juvenile,Unknown,Corry PA,Euthanized,0,2020,Fall,Organization,144391,T,NA,NA,NA,NA,NA,NA,T,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
75,F,RTHA,1087,Accipitridae,Juvenile,Male,Harborcreek PA,Released,61,2020,Fall,Organization,144391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
76,F,BAOR,35,Icteridae,Juvenile,Unknown,Errie PA,Euthanized,0,2020,Fall,Organization,144391,NA,NA,T,NA,NA,NA,NA,NA,T,NA,NA,Leg,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,T,NA,NA,NA,T,T,T,T
77,F,MODO,133,Columbidae,Juvenile,Unknown,Meadville PA,Dead on Arrival,0,2020,Fall,Organization,144391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,F,MODO,133,Columbidae,Adult,Unknown,Saegertown PA,Died,0,2020,Fall,Organization,144391,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
79,F,NOCA,45,Cardinalidae,Juvenile,Male,Conneault Lake PA,Released,6,2020,Fall,Organization,144391,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
80,F,MODO,133,Columbidae,Adult,Unknown,Unknown PA,Released,1,2020,Fall,Organization,144391,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
81,F,NOCA,45,Cardinalidae,Juvenile,Unknown,Edinboro PA,Released,1,2020,Fall,Organization,144391,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,T,NA
82,F,NOCA,45,Cardinalidae,Juvenile,Male,Port Allegheny PA,Dead on Arrival,0,2020,Fall,Organization,144391,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
83,T,BLJA,85,Corvidae,Adult,Unknown,Erie PA,Died,1,2020,Fall,Organization,144391,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,T,NA
84,F,WCSP,26.5,Passerellidae,Juvenile,Unknown,Erie PA,Died,3,2020,Fall,Organization,144391,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
85,F,GCKI,6,Regulidae,Adult,Unknown,Meadville PA,Released,18,2020,Fall,Organization,144391,NA,NA,T,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,T,NA,NA
86,F,DOWO,24.5,Picidae,Adult,Male,Cambridge Springs PA,Released,83,2020,Winter,Organization,144391,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA
87,F,COHA,410,Accipitridae,Juvenile,Female,Centerville PA,Released,10,2020,Winter,Organization,144391,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
88,F,BLJA,85,Corvidae,Adult,Unknown,North East PA,Died,1,2020,Winter,Organization,144391,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
89,F,AMGO,15.5,Fringillidae,Adult,Female,Portersville PA,Died,1,2020,Winter,Organization,144391,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA
90,F,COHA,410,Accipitridae,Juvenile,Male,Sharpsville PA,Euthanized,1,2020,Winter,Organization,144391,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,T,NA
91,F,RTHA,1087,Accipitridae,Adult,Unknown,Erie PA,Euthanized,12,2020,Winter,Organization,144391,NA,NA,T,NA,NA,T,T,NA,NA,NA,NA,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,T,T,NA
92,F,DOWO,24.5,Picidae,Adult,Female,Waterford PA,Euthanized,7,2020,Winter,Organization,144391,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
93,F,NOCA,45,Cardinalidae,Unknown,Unknown,McKean PA,Dead on Arrival,0,2020,Winter,Organization,144391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,F,COHA,410,Accipitridae,Juvenile,Female,Linesville PA,Released,14,2020,Winter,Organization,144391,NA,NA,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T,NA,NA,NA
